date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:45:25	2636/2636	---M--	404	error ('Not%20Found')	text/html	etag:1519975376-ssl	https://kuon.space/robots.txt		(from )
09:45:37	8752/8752	---M-Z	200	added ('OK')	text/html	etag:%22849c01a1aef73ec92cbd648933471614-ssl-df%22	https://kuon.space/	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/kuon.space/index.html	(from )
09:45:43	45224/45224	---M--	200	added ('OK')	image/png	etag:%2214cfeea6423c5fc1fdccf078ee09aa89-ssl%22	https://kuon.space/assets/img/ogp.png	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/kuon.space/assets/img/ogp.png	(from https://kuon.space/)
09:45:44	5078/5078	---M-Z	200	added ('OK')	text/css	etag:%22f3b9743804fdd1bc647777f71557c03e-ssl-df%22	https://kuon.space/assets/css/jquery.fullPage.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/kuon.space/assets/css/jquery.fullPage.css	(from https://kuon.space/)
09:45:48	32808/32808	---M-Z	200	added ('OK')	text/css	etag:%22646c073f6939837908377413865c1ec8-ssl-df%22	https://kuon.space/assets/css/common.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/kuon.space/assets/css/common.css	(from https://kuon.space/)
09:46:15	34734/34734	---MCZ	200	added ('OK')	text/css	etag:W/%2242eaa52604673b64d6b356c2fd7f87e3%22	https://use.fontawesome.com/releases/v5.0.6/css/all.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/use.fontawesome.com/releases/v5.0.6/css/all.css	(from https://kuon.space/)
09:46:18	17542/17542	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2292982efe1cc1ca64cdf120e5e84c936b-ssl%22	https://kuon.space/favicon.ico	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/kuon.space/favicon.ico	(from https://kuon.space/)
09:46:19	2609/2609	---M-Z	200	added ('OK')	text/css	etag:%22bee668605ea109d69bd97a0f103b43e5-ssl-df%22	https://kuon.space/awwwards.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/kuon.space/awwwards.css	(from https://kuon.space/)
09:46:19	11192/11192	---M--	200	added ('OK')	image/png	etag:%229c4dcf191260ddf11de727032d7dd54c-ssl%22	https://kuon.space/apple-touch-icon.png	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/kuon.space/apple-touch-icon.png	(from https://kuon.space/)
09:46:20	3099/3099	---M-Z	200	added ('OK')	image/svg+xml	etag:%228c68910069c1996196e5e8a1856f72a1-ssl-df%22	https://kuon.space/assets/img/cloud1.svg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/kuon.space/assets/img/cloud1.svg	(from https://kuon.space/)
09:46:21	7101/7101	---M-Z	200	added ('OK')	text/html	etag:%2280992ca9de05495607c76ba5341ad5d5-ssl-df%22	https://kuon.space/reile.html	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/kuon.space/reile.html	(from https://kuon.space/)
09:46:21	2928/2928	---M-Z	200	added ('OK')	image/svg+xml	etag:%228a5015155cbf832bbc272a4da1640493-ssl-df%22	https://kuon.space/assets/img/b_cloud02.svg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/kuon.space/assets/img/b_cloud02.svg	(from https://kuon.space/)
09:46:22	1062/1062	---M-Z	200	added ('OK')	image/svg+xml	etag:%224aa6c26501743585875f76ce94aff000-ssl-df%22	https://kuon.space/assets/img/moon.svg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/kuon.space/assets/img/moon.svg	(from https://kuon.space/)
09:46:22	2893/2893	---M-Z	200	added ('OK')	image/svg+xml	etag:%2256f2442f7d76b5a329daf7c50e17803a-ssl-df%22	https://kuon.space/assets/img/cloud2.svg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/kuon.space/assets/img/cloud2.svg	(from https://kuon.space/)
09:46:23	2924/2924	---M-Z	200	added ('OK')	image/svg+xml	etag:%22040b2fcaca42aab8b92cd8ba24de09f2-ssl-df%22	https://kuon.space/assets/img/b_cloud01.svg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/kuon.space/assets/img/b_cloud01.svg	(from https://kuon.space/)
09:46:23	6065/6065	---M-Z	200	added ('OK')	image/svg+xml	etag:%2245476e611e6940bfbe28ce6701e5e11a-ssl-df%22	https://kuon.space/assets/img/star.svg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/kuon.space/assets/img/star.svg	(from https://kuon.space/)
09:46:24	2910/2910	---M-Z	200	added ('OK')	image/svg+xml	etag:%226be66461b02b5cfd0bf14d175a7a5a58-ssl-df%22	https://kuon.space/assets/img/cloud3.svg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/kuon.space/assets/img/cloud3.svg	(from https://kuon.space/)
09:46:24	15985/15985	---M-Z	200	added ('OK')	text/html	etag:%224a40539280ab5551ba0e698e520e961c-ssl-df%22	https://kuon.space/about.html	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/kuon.space/about.html	(from https://kuon.space/)
09:46:27	14420/14420	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4838-3854%22	https://cdnjs.cloudflare.com/ajax/libs/animejs/2.2.0/anime.min.js	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/ToluWade/portfolio/cdnjs.cloudflare.com/ajax/libs/animejs/2.2.0/anime.min.js	(from https://kuon.space/)
